"filename", "language", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\_app.js", "JavaScript", 55, 0, 0, 0, 11, 66
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\betingelser.js", "JavaScript", 95, 0, 0, 0, 3, 98
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\components\faq.js", "JavaScript", 112, 0, 0, 0, 5, 117
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\components\find.js", "JavaScript", 420, 0, 0, 0, 22, 442
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\components\height.js", "JavaScript", 10, 0, 0, 0, 3, 13
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\components\login.js", "JavaScript", 115, 0, 0, 0, 15, 130
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\components.css", "CSS", 0, 1497, 0, 0, 209, 1706
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\forside.css", "CSS", 0, 1024, 0, 0, 154, 1178
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\gruppespil.css", "CSS", 0, 1106, 0, 0, 162, 1268
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\match.css", "CSS", 0, 1338, 0, 0, 194, 1532
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\priser.css", "CSS", 0, 36, 0, 0, 5, 41
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\responsive.css", "CSS", 0, 925, 0, 0, 50, 975
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\signup.css", "CSS", 0, 354, 0, 0, 48, 402
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\stage.css", "CSS", 0, 2500, 0, 0, 368, 2868
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\css\variables.css", "CSS", 0, 611, 0, 4, 111, 726
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\faq.js", "JavaScript", 36, 0, 0, 0, 4, 40
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\gruppespil.js", "JavaScript", 74, 0, 0, 0, 3, 77
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\img\congrats.svg", "XML", 0, 0, 1, 0, 0, 1
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\index.js", "JavaScript", 323, 0, 0, 0, 13, 336
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\kontakt.js", "JavaScript", 56, 0, 0, 0, 3, 59
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\layout\footer.js", "JavaScript", 69, 0, 0, 0, 2, 71
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\layout\header.js", "JavaScript", 219, 0, 0, 0, 8, 227
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\layout\stageheader.js", "JavaScript", 1812, 0, 0, 1, 19, 1832
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\priser.js", "JavaScript", 189, 0, 0, 0, 4, 193
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\privatliv.js", "JavaScript", 76, 0, 0, 0, 3, 79
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\services\algo.js", "JavaScript", 246, 0, 0, 0, 0, 246
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\services\authService.js", "JavaScript", 26, 0, 0, 0, 2, 28
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\services\login.js", "JavaScript", 12, 0, 0, 0, 2, 14
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\services\requireAuth.js", "JavaScript", 29, 0, 0, 5, 4, 38
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\signup.js", "JavaScript", 382, 0, 0, 0, 36, 418
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\faq.js", "JavaScript", 26, 0, 0, 0, 4, 30
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\gruppespil.js", "JavaScript", 694, 0, 0, 0, 58, 752
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\gruppession.js", "JavaScript", 21, 0, 0, 0, 4, 25
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\index.js", "JavaScript", 2179, 0, 0, 54, 100, 2333
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\league.js", "JavaScript", 851, 0, 0, 15, 28, 894
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\match.js", "JavaScript", 4065, 0, 0, 17, 180, 4262
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\notifikationer.js", "JavaScript", 815, 0, 0, 0, 55, 870
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\setup.js", "JavaScript", 1846, 0, 0, 0, 36, 1882
"c:\Users\Mads Kaiser\Desktop\tipsspillet\pages\stage\team.js", "JavaScript", 1489, 0, 0, 1, 56, 1546
"Total", "-", 16342, 9391, 1, 97, 1984, 27815
